t0001@sreflect 	Social Interaction
t0002@sreflect 	Social Interaction
t0003@sreflect 	Social Interaction
t0004@sreflect 	Sleep
t0005@sreflect 	Social Interaction
t0006@sreflect 	Social Interaction
t0007@sreflect 	Digital Habits
t0008@sreflect 	Sleep
t0009@sreflect 	Digital Habits
t0010@sreflect 	Digital Habits
t0011@sreflect	Digital Habits
t0012@sreflect 	Digital Habits
t0013@sreflect 	Social Interaction
t0014@sreflect 	Social Interaction
t0015@sreflect 	Sleep
t0016@sreflect 	Physical Fitness
t0017@sreflect 	Digital Habits
t0018@sreflect	Sleep
t0019@sreflect 	Physical Fitness
t0020@sreflect 	Sleep
t0021@sreflect 	Physical Fitness
t0022@sreflect 	Social Interaction
